user_id,kind,photo_id,source_url,file_path,width,height,bytes
470186395,avatar,457240795,"https://sun9-27.userapi.com/s/v1/ig2/FEDLccFr5pc0EcRXU5-i9-gAIJgzHMd6OX3x7O9zOymikfgUjwGacYr8Q-9i_UMlp3aYQ7imH6m3LbaAD6AKhK_N.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&cs=1080x0",vk_user_photos/470186395/avatar.jpg,1080,1080,511654
470186395,previous_avatar,457248443,"https://sun9-80.userapi.com/s/v1/ig2/OVJJ9VnMXJW69hpw_Pp0kNC8DiS7IfDqxz-jU4v16Vnci1ZA6arbIvGOqWHg-lj2cDf-XXrjHxOtL6zHSgxhCTn6.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,960x1280&from=bu&cs=960x0",vk_user_photos/470186395/previous_avatar.jpg,960,1280,355514
472936097,avatar,457284342,"https://sun9-12.userapi.com/s/v1/ig2/j-AihR1XtRY2z1jMvc2ytzdKYKQ0eiISFH3D0sT5bxD2L9pV9dqdQgKYgz3oO58jqCbb_dDhXhbCFSwoyg85YJeN.jpg?quality=95&as=32x47,48x71,72x107,108x160,160x237,240x356,360x534,480x712,540x801,640x949,720x1068,863x1280&from=bu&cs=863x0",vk_user_photos/472936097/avatar.jpg,863,1280,197899
472936097,previous_avatar,457284337,"https://sun9-70.userapi.com/s/v1/ig2/EZWgq3veCDsJvdrsHE24m5d_YnkQWtqO7VGkxBHaosXrWVNcxpgjCmdU4Yyj57qzmkeivLZ3oUhaftbO6cY7IPUn.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x539,480x719,540x809,568x851&from=bu&cs=568x0",vk_user_photos/472936097/previous_avatar.jpg,568,851,68604
473502341,avatar,457296949,"https://sun9-46.userapi.com/s/v1/ig1/dZ3LUW5s7mtEcWv7p2-OU2fT8uLRegdQ1Ad1eFrqBif6BBpTCbTSUplaH5EOE9VHYSGTuzOG.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x159,240x239,360x358,480x478,540x538,640x637,720x717&from=bu&cs=720x0",vk_user_photos/473502341/avatar.jpg,720,717,128506
473502341,previous_avatar,457296884,"https://sun9-23.userapi.com/s/v1/ig1/hU_fjU5YyeiG3VJicpFvWdmkOxK7HJDk7uEChFUCjviKxYmu9N5Meu1yuLoIUMvxT8-OGUib.jpg?quality=96&as=32x40,48x60,72x90,108x135,160x200,240x301,360x451,479x600&from=bu&cs=479x0",vk_user_photos/473502341/previous_avatar.jpg,479,600,42051
473512468,avatar,457255526,"https://sun9-53.userapi.com/s/v1/ig2/MObcWk6KBbc_hwaUyp2YbxHS-1kPFzD0N7rBdDD55jTsBgFA95UUP2-n8Mya3xEocBoS3hxt8x2QcK0TqYUbf-AD.jpg?quality=95&as=32x49,48x73,72x109,108x164,160x243,240x364,360x547,480x729,540x820,640x972,720x1093,914x1388&from=bu&cs=914x0",vk_user_photos/473512468/avatar.jpg,914,1388,1020121
473512468,previous_avatar,457251391,"https://sun9-61.userapi.com/s/v1/ig2/f3ZoFQjUF1rTZWfIYhal04dwclZANFjUCp2fabrwbVSkWWyrDLc1qLDPOUFx5FyDaeHI1QTdJAnlOdWe8ylCA1Aq.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,810x1080&from=bu&cs=810x0",vk_user_photos/473512468/previous_avatar.jpg,810,1080,228604
473967351,avatar,457239053,"https://sun9-76.userapi.com/s/v1/ig1/DjquKx_Mqnasz-yz6c5MfDXsKzKe-16HfrO-L7tBc8nsM6PqucnIXeokDDeLL5Bz8yxQK4K1.jpg?quality=96&as=32x28,48x42,72x63,108x94,160x140,240x210,360x314,480x419,540x472,640x559,720x629,823x719&from=bu&cs=823x0",vk_user_photos/473967351/avatar.jpg,823,719,112410
473967351,previous_avatar,456239017,"https://sun9-8.userapi.com/s/v1/ig2/LjHOt28IXgQ-OVW7scFHi5n0vc3XLgPfkqesfm8EU-mOFwB57d032uGy450nOyobzVfI14sJp0ya03fCErrsOwLc.jpg?quality=96&as=32x28,48x42,72x63,108x94,160x140,240x210,360x314,480x419,540x472,640x559,720x629,823x719&from=bu&cs=823x0",vk_user_photos/473967351/previous_avatar.jpg,823,719,112410
