id,in_users,in_profiles,in_catalog_users,users_count,profiles_count,catalog_users_count
197105625,no,yes,yes,0,1,1
197871165,no,yes,yes,0,1,1
198042494,no,yes,yes,0,2,2
198703349,no,yes,yes,0,1,1
198813213,no,yes,yes,0,1,1
199531402,no,yes,yes,0,1,1
202857286,no,yes,yes,0,1,1
205432033,no,yes,yes,0,1,1
207807223,no,yes,yes,0,1,1
208440005,no,yes,yes,0,1,1
208892827,no,yes,yes,0,1,1
208989798,no,yes,yes,0,1,1
209033921,no,yes,yes,0,2,2
209149607,no,yes,yes,0,1,1
209221826,no,yes,yes,0,1,1
209648680,no,yes,yes,0,1,1
210361988,no,yes,yes,0,1,1
212506594,no,yes,yes,0,1,1
215073202,no,yes,yes,0,1,1
216150493,no,yes,yes,0,2,2
216275930,no,yes,yes,0,1,1
216409897,no,yes,yes,0,1,1
216814332,no,yes,yes,0,1,1
217129478,no,yes,yes,0,1,1
220032526,no,yes,yes,0,1,1
220179141,no,yes,yes,0,1,1
220349311,no,yes,yes,0,1,1
221545570,no,yes,yes,0,2,2
221597182,no,yes,yes,0,1,1
222149838,no,yes,yes,0,2,2
222269820,no,yes,yes,0,1,1
222913281,no,yes,yes,0,1,1
223430371,no,yes,yes,0,1,1
227622761,no,yes,yes,0,1,1
228281919,no,yes,yes,0,1,1
228348565,no,yes,yes,0,1,1
230173495,no,yes,yes,0,1,1
230302965,no,yes,yes,0,1,1
231162567,no,yes,yes,0,1,1
231298303,no,yes,yes,0,1,1
232127041,no,yes,yes,0,1,1
232414054,no,yes,yes,0,1,1
232446391,no,yes,yes,0,1,1
232636143,no,yes,yes,0,1,1
232770707,no,yes,yes,0,1,1
232879741,no,yes,yes,0,1,1
234949935,no,yes,yes,0,1,1
235803421,no,yes,yes,0,2,2
236215973,no,yes,yes,0,1,1
236340528,no,yes,yes,0,1,1
236517352,no,yes,yes,0,1,1
237638687,no,yes,yes,0,2,2
237642629,no,yes,yes,0,1,1
239668245,no,yes,yes,0,1,1
239835268,no,yes,yes,0,1,1
240098638,no,yes,yes,0,1,1
